Name,Question ID,Difficulty,Question Tags,Company Tags,Question URL,Total Submissions,Total Accepted
Number of Restricted Paths From First to Last Node,1786,Medium,"Dynamic Programming, Graph, Heap (Priority Queue), Shortest Path, Topological Sort",Google,https://leetcode.com/problems/number-of-restricted-paths-from-first-to-last-node,66892,26353
Make the XOR of All Segments Equal to Zero,1787,Hard,"Array, Bit Manipulation, Dynamic Programming",Medianet,https://leetcode.com/problems/make-the-xor-of-all-segments-equal-to-zero,14213,5638
Maximize the Beauty of the Garden,1788,Hard,"Array, Greedy, Hash Table, Prefix Sum",Amazon,https://leetcode.com/problems/maximize-the-beauty-of-the-garden,3615,2369
Check if One String Swap Can Make Strings Equal,1790,Easy,"Counting, Hash Table, String",Facebook,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,255584,117492
Find Center of Star Graph,1791,Easy,Graph,Microsoft,https://leetcode.com/problems/find-center-of-star-graph,409298,354668
Maximum Average Pass Ratio,1792,Medium,"Array, Greedy, Heap (Priority Queue)",Amazon,https://leetcode.com/problems/maximum-average-pass-ratio,42753,23228
Maximum Score of a Good Subarray,1793,Hard,"Array, Binary Search, Monotonic Stack, Stack, Two Pointers",Google,https://leetcode.com/problems/maximum-score-of-a-good-subarray,120632,77568
Count Pairs of Equal Substrings With Minimum Difference,1794,Medium,"Greedy, Hash Table, String",Google,https://leetcode.com/problems/count-pairs-of-equal-substrings-with-minimum-difference,3205,2082
Second Largest Digit in a String,1796,Easy,"Hash Table, String","Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Uber, Walmart Global Tech",https://leetcode.com/problems/second-largest-digit-in-a-string,126011,64198
Design Authentication Manager,1797,Medium,"Design, Doubly-Linked List, Hash Table, Linked List",Twitter,https://leetcode.com/problems/design-authentication-manager,58086,33620
Maximum Number of Consecutive Values You Can Make,1798,Medium,"Array, Greedy, Sorting",Infosys,https://leetcode.com/problems/maximum-number-of-consecutive-values-you-can-make,33943,20816
Maximize Score After N Operations,1799,Hard,"Array, Backtracking, Bit Manipulation, Bitmask, Dynamic Programming, Math, Number Theory",Amazon,https://leetcode.com/problems/maximize-score-after-n-operations,108917,62927
Maximum Ascending Subarray Sum,1800,Easy,Array,TCS,https://leetcode.com/problems/maximum-ascending-subarray-sum,99727,61816
Number of Orders in the Backlog,1801,Medium,"Array, Heap (Priority Queue), Simulation","Amazon, Apple, Bloomberg, Facebook, Google, Microsoft, Uber, Walmart Global Tech",https://leetcode.com/problems/number-of-orders-in-the-backlog,46349,23451
